"name","type","unit","vocabulary","valid_min","valid_max","description","Code_Display","Code_Query","Variable_Order","Variable_Key","Unit_or_type","Data_type","Dataset","Subset","Group","SubGroup","Set_group_order","Version_or_questions","DSSAT_synon","DSSAT_group","DSSAT_order","var_uid"
"suite_id","character","","","","","Suite identifiers","SUITEID","SUITEID",1,NA,"text","text","SUITE","METADATA","GENERAL",NA,8011,"2013-02-04, JWW",NA,NA,NA,81
"suite_name","character","","","","","Brief name of suite of experiments","SUITE_NAME","SUITE_NAME",1,NA,"text","text","SUITE","METADATA","GENERAL",NA,8011,"2015-11-24, CHP",NA,NA,NA,82
"suite_objectives_of_study","character","","","","","Objectives of the study","SUITE_OBJ","SUITE_OBJ",5,NA,"text","memo","SUITE","METADATA","GENERAL",NA,8011,"2014-04-07, CHP",".",NA,NA,83
"suite_main_experiment_factor","character","","","","","Main factor, factors or interactions of interest in an experiment","SUITE_MAIN_FAC","SUITE_MAIN_FAC",6,NA,"text","text","SUITE","METADATA","GENERAL",NA,8011,"2014-04-07, CHP",NA,NA,NA,84
"suite_experimental_factor_comb","character","","","","","Experimental factor combinations","SUITE_FACTORS","SUITE_FACTORS",7,NA,"text","text","SUITE","METADATA","GENERAL",NA,8011,"2014-04-07, CHP",".",NA,NA,85
"suite_experiment_type","character","","exper_type","","","General type of experiment, e.g., varietal trial","SUITE_EXPER_TYPE","SUITE_EXPER_TYPE",9,NA,"code","text","SUITE","METADATA","GENERAL",NA,8011,"2014-04-07, CHP",NA,NA,NA,86
"suite_distrib_restrictions","character","","","","","Distribution limitations for the data set","SUITE_DISTRIB","SUITE_DISTRIB",21,NA,"text","memo","SUITE","METADATA","GENERAL",NA,8011,"2013-02-14, CHP",".",NA,NA,87
"suite_keywords","character","","","","","Keywords for dataset","SUITE_KEYWORDS","SUITE_KEYWORDS",3,NA,"text","memo","SUITE","METADATA","GENERAL",NA,8051,"2015-11-24, CHP",NA,NA,NA,88
"suite_data_source","character","","data_source","","","Original format of  data (DSSAT, APSIM, CIMMYT, field log, etc)","SUITE_DATA_SOURCE","SUITE_DATA_SOURCE",4,NA,"code","text","SUITE","METADATA","GENERAL",NA,8012,"2014-04-07, CHP",NA,NA,NA,89
"suite_citation","character","","","","","Full citation for experimental data","SUITE_CITATION","SUITE_CITATION",1,NA,"text","text","SUITE","METADATA","GENERAL",NA,8012,"2014-04-07, CHP",NA,NA,NA,90
"suite_license","character","","","","","License associated with experiment","SUITE_LICENSE","SUITE_LICENSE",1,NA,"text","text","SUITE","METADATA","GENERAL",NA,8012,"2014-04-07, CHP",NA,NA,NA,91
"suite_notes","character","","","","","Additional notes describing the datasets comprising a suite","SUITE_NOTES","SUITE_NOTES",3,NA,"text","memo","SUITE","METADATA","GENERAL",NA,8051,"2016-03-04, CHP",NA,NA,NA,92
"suite_researcher_address","character","","","","","Mailing address of researcher","SUITE_ADDRESS","SUITE_ADDRESS",4,NA,"text","memo","SUITE","METADATA","PERSONS",NA,8031,"2014-03-14, chp",NA,NA,NA,93
"suite_persons_notes","character","","","","","Additional notes on persons involved with the experiment(s)","SUITE_PERSON_NOTES","SUITE_PERSON_NOTES",20,NA,"text","memo","SUITE","METADATA","PERSONS",NA,8031,"2014-04-07, CHP",NA,NA,NA,94
"suite_email_address","character","","","","","E-mail address of researcher","SUITE_EMAIL","SUITE_EMAIL",7,NA,"text","text","SUITE","METADATA","PERSONS",NA,8031,"2014-04-07, CHP",NA,NA,NA,95
"suite_orcid","character","","","","","ORCId of researcher(s)","SUITE_ORCID","SUITE_ORCID",7,NA,"text","text","SUITE","METADATA","PERSONS",NA,8031,"2015-11-24, CHP",NA,NA,NA,96
"suite_institute_name","character","","","","","Names of participating institutions","SUITE_INSTITUTION","SUITE_INSTITUTION",2,NA,"text","text","SUITE","METADATA","INSTITUTIONS",NA,8041,"2014-04-07, CHP",NA,NA,NA,97
"suite_document_name","character","","","","","Document name in abbreviated form","SUITE_DOCUMENT","SUITE_DOCUMENT",2,NA,"text","memo","SUITE","METADATA","DOCUMENTS",NA,8051,"2014-04-07, CHP",NA,NA,NA,98
"suite_digital_object_id","character","","","","","Digital Object Identifier (DOI) according to international standard","SUITE_DOI","SUITE_DOI",3,NA,"text","memo","SUITE","METADATA","DOCUMENTS",NA,8051,"2014-04-07, CHP",NA,NA,NA,99
